fname,mname,lname,gender,ssn,dob,salary
Jennifer,Kathy,Navarro,F,000-32-1923,11/19/1947,59500
Colleen,Joanne,Love,F,800-11-7984,12/28/1934,88000
Brandy,Kathryn,Brodsky,F,000-58-7168,02/16/1947,75500
Phyllis,Pamela,Dion,F,000-53-0024,01/13/1976,87600
Taylor,Beverly,Pope,F,900-55-5071,07/17/1944,126400
Travis,Joshua,Cosper,M,900-74-9430,05/23/1954,102100
Nicholas,Daniel,Chadwick,M,000-68-8461,06/23/1931,140200
Sophia,Kristina,Torres,F,800-47-5442,08/17/1966,143300
Jim,Raymundo,Martin,M,800-80-0604,09/15/1967,99800
Larry,Ian,Reed,M,000-87-6329,11/24/1962,91000
Jacob,David,Ramirez,M,800-62-5064,06/27/1948,55200
Zachery,Monte,Simon,M,000-35-6584,11/13/1966,109100
Christina,Brook,Lamb,F,000-22-4949,06/07/1968,124700
Amie,Jana,Romero,F,000-21-0725,01/01/1964,103200
Pamela,Leah,Soto,F,000-80-4118,09/11/1973,67100
Kevin,Fernando,Binder,M,000-66-7604,08/21/1974,76400
Vivian,Rachel,Costanzo,F,000-53-5578,08/08/1949,75200
Susan,Donna,Chapman,F,800-94-1662,06/30/1989,112400
Herschel,Larry,Talbot,M,000-77-4675,05/19/1987,53500
Damien,Ryan,Ruehter,M,800-19-9982,01/21/1982,113700
Ethan,Mac,Pickelsimer,M,800-44-7267,08/30/1986,106400
Alexander,James,Counts,M,000-70-6613,12/14/1977,120600
Joseph,Cody,Mills,M,000-24-5523,07/19/1940,93300
Susan,Jane,Rucci,F,000-76-8007,03/29/1944,78400
Eric,Ruben,Barbour,M,000-79-6497,12/24/1986,140900
Charley,Christopher,Reid,M,000-81-6027,02/17/1966,95200
Clarice,Erin,Cyr,F,900-18-1151,02/08/1935,84600
Garrett,Raymond,Ward,M,900-82-7392,12/08/1978,84600
Jamarion,Ean,Thompson,M,800-08-3968,05/19/1959,111600
Leslie,Donna,Mondragon,F,900-35-1004,10/10/1988,136800
Donald,Brad,Warfield,M,000-98-5821,08/01/1956,149300
Rebecca,Brenda,Prager,F,800-30-7013,11/09/1979,100000
Jessica,Sharlene,Marable,F,800-80-5247,02/02/1963,92800
Michele,Elizabeth,Martinez,F,000-60-4095,09/22/1965,72200
Cristina,Victoria,Schwartz,F,000-79-5785,05/20/1940,125000
Zachary,Xander,Burdine,M,900-24-3770,11/30/1954,47100
Fernando,Carl,Marshall,M,800-07-9537,01/28/1963,115700
Cassidy,Sandra,Redfern,F,000-25-3236,08/24/1972,49300
Nina,Patricia,Davis,F,800-64-9609,04/21/1935,114200
Brandon,Jeff,Cook,M,000-87-0579,07/14/1985,73000
Destiney,Priscilla,Dwyer,F,800-20-5462,01/20/1934,93100
Kimberly,Frances,Waymer,F,800-86-4329,07/17/1963,71900
Karen,Elizabeth,Bowles,F,000-01-3896,04/03/1975,77900
Molly,Laura,Wine,F,900-98-4022,09/04/1989,58800
Blaine,Jack,Johnson,M,000-26-6636,03/23/1976,143200
Darlene,Janice,Goodwin,F,800-71-8467,02/12/1936,86800
Terry,Dominic,Dean,M,000-51-5052,12/12/1974,132600
Jasmin,Jordan,Edgar,F,900-57-3415,06/10/1936,104300
Christopher,Riley,Muddiman,M,800-34-6337,10/07/1952,117200
James,Andrew,Rodrigez,M,800-88-3662,04/10/1976,91800
Stefanie,Lois,Barkman,F,900-39-1158,07/22/1932,51300
Linda,Amanda,Tubbs,F,000-34-5768,11/23/1980,130900
Chelsea,Dana,Wood,F,900-78-3180,03/28/1978,122800
Kari,Latosha,Zahner,F,800-50-0224,11/01/1980,104100
Patricia,Brenda,Hedges,F,000-07-6266,11/08/1963,58500
Amanda,Isabella,Stgermain,F,800-02-5115,07/13/1985,68800
James,Maria,Hampton,M,000-51-7619,12/19/1988,65200
Skyler,Mindy,Goodwin,F,000-01-5816,08/27/1974,149600
James,Bryan,Florian,M,000-53-7651,06/20/1958,96600
Latrice,Jaimie,King,F,900-91-7736,10/28/1946,84400
Ernest,Johnny,Guest,M,900-53-9864,01/27/1939,122200
David,Kevin,Collins,M,000-89-1654,06/06/1950,96400
Joseph,James,Perkins,M,900-30-6526,05/13/1959,81100
Lisa,Jocelyn,Wilson,F,000-36-3666,03/20/1934,138700
Eric,Brent,Lindemann,M,800-91-8409,09/23/1955,93000
Clarice,Sydney,Hubbard,F,800-31-4305,12/29/1962,147500
Carl,Nicholas,Ford,M,000-74-9393,08/30/1979,66500
Joel,Ricky,Doran,M,900-78-3814,01/23/1953,77100
Carol,Alexis,Montoya,F,900-95-9195,01/01/1977,135900
Colten,Daniel,Harper,M,000-25-3149,02/10/1942,49800
Richard,Erin,Comeau,M,800-66-0020,09/13/1989,59100
Andres,Adam,Turner,M,000-82-2725,10/29/1984,94400
Ava,Monica,McClean,F,900-66-5397,12/12/1946,126600
Ernest,Larry,McCall,M,800-33-3766,04/05/1972,115400
Broderick,Robert,Perkins,M,800-39-4213,01/04/1973,119200
Anita,Deborah,Hallmark,F,000-80-9716,05/08/1988,105600
Christopher,Derek,Rothman,M,000-20-8918,07/25/1942,122100
Christina,Bettye,Hines,F,900-04-0691,04/01/1963,70100
Daniel,Steven,Holmes,M,000-36-6850,05/02/1970,131500
Denise,Carla,Vanheusen,F,900-83-2843,01/26/1931,146500
Gloria,Margaret,Spurlock,F,900-23-6358,01/25/1944,138800
Riley,Nancy,Patel,F,000-75-4099,12/02/1935,148200
Justin,Luca,Lucas,M,800-86-1224,11/12/1981,74800
Joseph,Levi,Dreiling,M,000-08-9611,06/06/1967,84400
Gary,David,Orlof,M,800-63-8116,01/06/1932,55300
Nancy,Erica,Waugh,F,800-32-3450,12/17/1948,136800
Davin,Darrius,Hanson,M,900-83-2549,10/14/1942,106500
Kylie,Abigail,Peterson,F,800-46-9158,07/03/1963,136900
Jami,Camille,Lopez,F,900-34-7207,07/27/1965,103400
Barton,Josef,Hines,M,000-48-4356,01/08/1942,50600
Pasquale,Willie,Rezai,M,900-46-9099,08/24/1957,108700
Ramiro,Robert,Howard,M,900-08-7016,01/25/1933,74000
Joseph,Tanner,Dacpano,M,800-48-4394,05/12/1978,110100
Craig,Darrell,Nakaoka,M,900-59-3604,12/30/1960,51700
Ryan,Michael,Carlsen,M,800-48-2380,08/13/1964,100000
Walter,Jason,Waugh,M,000-55-1702,04/26/1963,73200
Angelina,Shameka,Petrovic,F,000-63-2433,02/23/1954,91100
Russell,Julian,Lopez,M,800-28-2302,09/03/1932,106500
Nichole,Rachel,Martin,F,000-88-0423,07/01/1947,144600
Anne,Mckayla,Pruett,F,000-53-9415,12/30/1934,120200
George,Joseph,Figueroa,M,800-67-3431,05/25/1969,144100
Kayla,Jodie,Patterson,F,900-19-7144,09/08/1967,127900
Olivia,Linda,Fain,F,000-31-4221,07/04/1973,149200
Jordan,Emily,Penrod,F,800-23-6885,10/31/1940,110500
Brandon,Lisa,Piekarski,F,000-06-9339,03/15/1947,60700
Denice,Karen,McDonough,F,000-81-9812,12/02/1962,126100
David,Jacob,Marrero,M,900-90-7274,06/11/1934,115500
Raymond,Brendan,Spencer,M,800-01-2312,04/29/1956,120800
Calvin,Joseph,Cilek,M,800-81-5564,01/04/1957,79400
Tracy,Myah,Martin,F,800-42-4489,06/29/1979,65300
Mary,Shannon,Arango,F,000-72-0135,03/08/1957,130400
Walter,Benjamin,Bowman,M,800-40-9466,09/03/1955,66700
Marquise,Christopher,Albro,M,900-58-8264,07/19/1969,149100
Deborah,Mariann,Wade,F,800-22-0721,09/28/1984,104000
Nadia,Olivia,Murdoch,F,900-10-2647,05/17/1959,86000
Dennis,Jonah,Angers,M,900-91-5668,03/17/1955,115800
Debra,Elva,King,F,000-43-1024,12/03/1939,54100
Jacob,Casey,Clark,M,000-05-9673,10/14/1955,130800
Richard,Tyler,Long,M,900-67-8300,01/12/1969,123300
Sydney,Lauren,Breunig,F,800-27-8595,07/11/1983,66800
Teresa,Crystal,Caballero,F,000-84-0913,12/03/1962,137200
Nita,Roxie,Bigelow,F,800-53-4988,09/02/1985,144300
Aleah,Michele,McKee,F,900-72-0986,10/06/1957,76600
Ronald,Eric,Hui,M,000-74-5848,05/30/1971,133800
Amara,Amber,Greer,F,900-01-4493,10/19/1935,109700
Lisa,Emily,Graves,F,900-81-2734,04/21/1933,79100
Diana,Opal,Morrison,F,800-15-5663,02/17/1967,77000
Preston,Luis,Lewis,M,000-13-5855,12/15/1936,119400
Casie,Devin,Cutshaw,F,000-56-8436,01/29/1939,105400
Brittany,Alexis,Phillips,F,000-67-4261,11/26/1959,102100
Stephanie,Jessica,Garcia,F,900-69-2627,05/05/1974,102800
Arely,Stephanie,Blankenship,F,900-92-9340,10/06/1945,74700
Hunter,Stephen,Dailey,M,800-09-7499,05/16/1930,94500
Jenny,Alyssa,Ramirez,F,800-87-5415,07/04/1960,112400
Hayley,Mikayla,McNabb,F,900-94-1589,09/26/1951,127900
Owen,Nathan,Fields,M,000-33-8807,12/23/1979,135100
Evelyn,Jody,Roseboro,F,900-44-1382,09/12/1955,54600
Philip,Eric,Stouall,M,800-03-9307,08/23/1953,55300
Monique,Teresa,Pinto,F,800-26-4039,01/22/1951,77100
Colleen,Caroline,Chambers,F,800-12-0440,12/09/1935,54500
Joshua,Normand,Preston,M,800-43-1808,12/22/1985,105300
Spencer,Ernest,Butler,M,000-23-7426,06/22/1949,65300
Marvin,Jack,Rogers,M,800-34-8270,10/23/1970,106900
Kaley,Juanita,Ekins,F,800-90-4274,10/25/1949,109100
Christal,Chelsie,Shelton,F,000-23-9109,07/29/1962,113800
Ellie,Erika,Hansen,F,900-39-3872,01/28/1988,71900
Maggie,Terri,Randall,F,800-97-2519,01/08/1969,48600
Lee,Jim,Ellis,M,900-90-7507,08/05/1957,79600
Christopher,Daniel,Larson,M,800-79-6932,06/11/1944,129800
Emily,Tina,Fung,F,800-95-2726,10/09/1957,113000
Caleb,Albert,Hudson,M,800-85-6232,04/21/1987,109000
Joan,Dorene,Case,F,800-27-0915,06/15/1964,68200
Jo,Kathy,Gordon,F,900-52-5068,11/08/1980,109300
Cathie,Sanaa,Tibwell,F,000-35-8536,03/07/1937,123900
Logan,Eduardo,Barager,M,800-29-9471,08/07/1988,101900
Matthew,Cesar,Robitaille,M,800-95-8406,06/07/1966,74400
Christopher,Jed,Royal,M,800-73-0409,07/28/1956,100800
Joseph,Eugene,Seubert,M,000-81-9931,08/27/1962,78500
Susan,Renee,Catalan,F,000-15-0423,05/25/1986,130300
Aydin,Allen,Nelson,M,800-28-9702,03/27/1938,136200
Travis,Joseph,Hamilton,M,900-42-6032,11/15/1965,69700
James,Nicholas,Morris,M,000-02-6359,03/12/1961,66300
Carolina,Joanna,Lolling,F,900-77-1044,01/19/1956,127200
Martha,Sharon,Greer,F,800-81-6130,11/02/1934,126200
Ross,Chris,Castano,M,900-93-8409,04/15/1978,112600
Paul,Barry,Metzger,M,800-18-7604,12/26/1967,84100
Mary,Alice,Harris,F,000-57-5870,04/09/1952,129700
Camila,Leta,Allen,F,900-59-7792,07/13/1947,75300
Stephanie,Jessica,Coffelt,F,000-83-5983,01/03/1964,105200
Lawrence,Walter,Singhisen,M,900-05-1287,09/20/1960,141200
Brenda,Patricia,Linton,F,900-73-6557,06/26/1935,64600
Robert,John,Copley,M,800-98-3863,10/10/1952,146900
Donna,Stephanie,Cheney,F,800-34-3672,02/22/1940,147000
Elise,Sherry,Serafini,F,000-31-3567,05/03/1971,136900
Susan,Kristina,Cole,F,000-79-7116,05/16/1939,52300
Carl,Paul,Danes,M,000-71-3907,06/22/1935,86300
Felicia,Lynette,MacRae,F,000-22-7454,04/15/1964,46100
Sandy,Jon,Jarrett,M,900-03-2034,09/15/1935,85700
Riley,Liam,Parson,M,000-01-0334,08/15/1956,118800
Shirley,Melba,Myers,F,800-39-4527,09/29/1978,90900
Mathias,Jeffrey,Varney,M,900-50-1933,09/19/1954,137500
Michael,Sebastian,Hudson,M,900-47-5980,10/05/1979,107800
Joel,Brian,Beard,M,900-35-1966,08/25/1961,126800
Austin,Brian,Lewis,M,000-89-8020,05/09/1951,46400
Robert,Raphael,Keith,M,900-74-3132,07/17/1931,149300
Lauren,Keely,Bill,F,800-54-8919,11/29/1972,148000
Miya,Jessica,Recio,F,900-56-8428,01/24/1979,104900
Dustin,Brennen,Rusch,M,800-56-6465,01/22/1968,70800
Emily,Roseann,Reider,F,800-07-0241,10/21/1935,101800
Molly,Maricela,Hunter,F,900-15-9232,11/09/1951,54700
Robert,Monroe,Young,M,900-60-7587,05/15/1987,81100
William,Virgil,Morrison,M,000-39-3925,02/09/1977,98900
Janet,Haley,Wade,F,900-64-0472,06/14/1937,147000
Patricia,Lindsay,Hostetter,F,000-77-8933,01/29/1981,52900
Valentina,Patricia,Sibley,F,900-78-2689,02/05/1934,65300
Ina,Samantha,White,F,900-33-6778,08/30/1973,120900
Kathleen,Benita,Hazelton,F,900-89-7052,12/11/1936,102800
Danny,Daniel,Torres,M,000-06-0572,12/07/1987,56000
John,Derek,Merkle,M,800-38-9404,05/26/1946,147900
Antoinette,Beverly,Geyman,F,000-64-2181,12/15/1961,127100
Juana,Linda,Martin,F,800-14-0339,05/31/1941,147400
Kia,Melissa,Landin,F,000-33-2239,11/21/1980,124000
Craig,Brian,Fowler,M,800-87-6019,03/27/1934,89700
David,John,Parsons,M,900-34-4644,05/29/1941,76800
Jimmy,Luis,Holmes,M,800-80-2048,08/06/1959,85700
Joshua,Justin,Wing,M,000-46-0729,05/17/1958,136500
Ronald,Duane,Gadley,M,900-74-6717,03/23/1987,51000
Elizabeth,Ashley,Lovato,F,000-61-0742,06/25/1987,87200
Rafael,Robert,Shults,M,800-31-2630,07/13/1983,83700
Wyatt,Robert,Richardson,M,900-48-2795,06/21/1959,47100
Cassandra,Kaitlin,Luby,F,800-72-8019,03/20/1989,122500
Daniel,Ryan,Erikson,M,900-44-1945,08/28/1950,110000
Robert,Marquise,Amedee,M,800-33-1749,03/21/1982,145700
Hattie,Benita,Wakefield,F,800-51-4551,11/10/1978,133700
Destiny,Patricia,Kennelly,F,800-43-4983,05/26/1934,66500
Meredith,Debra,Herrmann,F,800-81-3853,08/05/1955,110100
Logan,Donnie,Morrison,M,800-26-2508,02/20/1985,114300
Robin,Amanda,Fanucchi,F,000-03-4039,02/07/1942,101000
Robert,Roger,Anderson,M,800-17-6033,12/23/1962,95000
Randy,Ryan,Dorsey,M,800-71-7855,11/16/1981,45200
Diana,Alicia,Mayes,F,800-20-8420,07/07/1950,142000
Philip,Jason,Campbell,M,000-65-6897,01/05/1982,120800
Rosemary,Elaine,Deacon,F,800-31-7581,08/09/1960,53900
Christian,Laverne,Bailey,M,800-66-1488,12/28/1932,148200
Mason,Devin,Armstrong,M,800-79-1766,12/14/1965,133800
Nancy,Deborah,Eaton,F,900-21-3413,04/06/1938,80200
Elizabeth,Margaret,Ramirez,F,900-93-0174,09/27/1963,130600
Marissa,Deirdre,Douglas,F,900-06-0794,03/12/1932,131700
Emily,Damaris,Nixon,F,900-64-7354,08/24/1973,139800
Alexis,Desmond,Lawton,M,000-54-9610,07/22/1972,87000
Jonathon,Nikhil,Bowman,M,900-48-2088,09/18/1942,134200
Erika,Hazel,Semone,F,900-50-2193,04/05/1955,110100
Marvin,Anthony,Vanzant,M,000-04-7456,07/20/1959,61100
Ryan,Ricky,Snow,M,900-83-4980,11/09/1987,88900
Frank,William,Lane,M,900-26-1044,04/06/1984,143200
Iliana,Lauren,Jones,F,800-68-5380,07/10/1936,58300
Daniel,William,Cook,M,000-69-5919,10/04/1960,111600
Marcos,Jeremy,Odonnell,M,000-74-3970,05/27/1949,100900
Jill,Candace,Davenport,F,900-15-0049,02/28/1963,118800
Janie,Kayla,Buckley,F,000-51-4882,07/31/1964,68900
Philip,Andrew,Martin,M,800-72-1747,12/22/1962,144100
Bonny,Harley,Frazier,F,000-82-3265,09/28/1982,68900
Clinton,Jack,Brooks,M,000-36-1372,03/31/1979,57100
James,Charles,Huggins,M,900-55-1231,06/22/1971,86000
Alijah,Logan,Schmidt,M,800-97-1885,12/17/1962,143300
Karen,Mabel,Spencer,F,800-18-6191,04/30/1987,98300
Ryan,Robert,Clayton,M,900-10-3440,12/03/1949,76800
Juanita,Julianna,Snyder,F,800-67-8008,07/02/1937,74900
Jennifer,Isabella,Duncan,F,800-46-9678,08/10/1982,138400
Joyce,Kathy,Kemp,F,800-07-3826,01/08/1987,72900
Adonis,Joseph,Vaclavik,M,800-09-5852,08/29/1958,60400
Willow,Miranda,Rodgers,F,000-26-2033,08/11/1972,55400
Monica,Brooke,Jiles,F,900-69-1459,04/21/1947,129200
Cohen,Jeffrey,Thelmon,M,900-10-3904,07/17/1983,142900
Gregory,John,Hamilton,M,900-78-7411,05/24/1971,101300
Eric,Matthew,Dickerson,M,000-58-3283,02/10/1936,86600
Diana,Kelly,Stewart,F,800-36-6308,10/09/1967,129900
Joshua,Skyler,Wade,M,800-19-9688,11/10/1960,92700
Jasmin,Sandy,Myers,F,800-33-1146,01/12/1939,141100
Jesse,Joseph,Kelm,M,800-10-7130,04/30/1988,98000
Carla,Lynne,Vargas,F,900-13-5573,04/22/1986,46100
Lynne,Jenna,Armstrong,F,000-73-4908,05/23/1963,68100
Sandra,Sarah,Burns,F,900-81-5839,10/21/1986,111900
Anthony,Andre,Sander,M,800-85-2929,12/22/1962,117100
Gary,Brandon,Pruitt,M,800-80-1285,01/10/1943,56400
Rosa,Mckenzie,Beesmer,F,000-32-0081,08/09/1973,68100
Andres,David,Gould,M,000-97-4846,03/21/1970,47100
Kia,Paige,Stevens,F,800-15-5188,04/22/1939,81600
Nolan,Michael,Mitchell,M,800-41-9360,03/20/1962,104500
Alicia,Renee,Satiago,F,000-04-2600,01/26/1989,45000
Faith,Tessa,Lee,F,900-62-7928,08/05/1949,139300
Kenneth,Ryan,Ware,M,800-40-6908,12/15/1951,48200
Clarissa,Mckenzie,Sisk,F,800-83-9138,02/28/1933,61800
Frank,John,Oki,M,000-70-3868,10/17/1950,107600
Alissa,Mary,Carr,F,900-86-0425,02/20/1952,99800
Warren,Brian,Lantz,M,900-56-7015,01/10/1969,68600
Barton,Michael,Houchens,M,000-50-5338,12/10/1975,131300
Ryker,David,Leshko,M,000-88-2042,09/23/1953,135700
Jennifer,Makaila,Gomez,F,000-62-3025,08/05/1976,52700
Theresa,Mandy,Harrison,F,000-23-3432,05/26/1981,65400
Courtney,Cynthia,Turner,F,900-25-0666,06/19/1943,67800
Edward,Christopher,Hudgins,M,800-69-0418,09/10/1971,56700
Eva,Jill,Laughlin,F,800-43-2191,03/29/1973,148500
Alan,Reginald,Campbell,M,000-60-1764,02/05/1963,118900
Manuel,Mekhi,Thomasson,M,900-58-9030,07/18/1984,102600
Bradley,Thomas,McCulloch,M,900-38-1430,09/13/1935,133500
Deena,Paloma,Prosser,F,000-63-1186,12/20/1946,131600
Robert,John,Graubard,M,900-35-9621,02/02/1932,77500
Yasmin,Nancy,Heiser,F,900-25-9400,03/10/1961,123900
William,Alex,Rahman,M,800-80-6287,10/12/1964,116800
Salvador,James,Kendrick,M,800-79-1733,11/28/1975,102100
James,Joseph,Pearson,M,800-10-6561,04/25/1955,132800
Jamie,Karl,Gleason,M,900-04-0269,03/21/1931,128900
Donald,William,Lowery,M,900-72-0221,10/30/1944,98900
Elizabeth,Ashley,Deaton,F,000-48-6305,09/03/1987,100100
Everett,Randel,Phillips,M,000-88-9646,06/26/1940,143800
Kaeden,Dennis,Fergoson,M,000-04-4751,01/24/1961,132000
Anita,Elizabeth,Moss,F,000-77-3363,06/05/1979,54800
Michael,Mateo,Adams,M,000-35-1036,09/11/1940,115500
Ronald,Roderick,Palmer,M,900-64-6434,10/27/1966,138100
Myron,Andrew,Harris,M,000-37-6889,02/24/1949,74900
Steve,Jared,Truax,M,800-36-7812,09/07/1976,127200
Stacey,Michael,Murphy,M,800-04-3839,08/23/1988,48900
Olivia,Pamala,Green,F,000-22-6400,12/24/1969,112400
Jared,Jaron,Green,M,900-36-4600,04/19/1983,134200
Mary,Kelly,Schoffstall,F,000-30-0213,11/21/1974,46600
Stanton,Mark,Luminati,M,900-29-8120,05/03/1930,116200
William,Tad,Bowe,M,000-88-0654,02/15/1971,96000
Julie,Donna,Evans,F,800-83-0795,11/07/1965,132300
Kathy,Joanne,Burgess,F,900-01-0967,10/18/1938,51700
Micah,William,Cooper,M,800-05-1376,12/28/1972,109100
Jared,Mark,Elliott,M,000-32-0625,05/26/1948,55500
Claire,Adriana,Hall,F,000-87-1925,03/13/1974,105900
Jordan,John,Clinton,M,900-25-6450,11/20/1960,92100
Lisa,Norma,Stclair,F,900-81-1799,05/24/1984,117900
Ward,Phillip,Ritrovato,M,000-39-3749,12/17/1973,62300
Sarah,Theresa,Downie,F,000-76-4241,05/04/1946,119900
Larry,Leon,Stoudt,M,000-50-3230,08/20/1930,111600
Donna,Brittany,Layton,F,000-27-7585,11/09/1987,131500
Megan,Karen,Reid,F,900-15-1999,10/29/1932,148100
Carol,Earnestine,Clemens,F,800-49-5606,08/01/1946,110400
Jonathan,Gabriel,Evans,M,000-18-9407,02/09/1954,140000
Dottie,Colleen,Cloninger,F,900-29-4061,07/25/1937,111300
Eliana,Jamie,Hart,F,800-98-1040,04/08/1953,66500
Haleigh,Jasmin,Malone,F,900-13-2935,07/05/1982,88300
Kevin,William,Nelson,M,900-24-6601,07/10/1988,140000
James,Lee,Esters,M,800-09-6435,12/15/1958,95200
Kieran,Fernando,Medina,M,000-19-0024,08/10/1988,75400
Marvin,Gregory,Peterson,M,000-93-5262,06/15/1965,139200
Janice,Desiree,Hicks,F,000-18-2534,12/27/1930,97300
Craig,Ernest,Marazzi,M,000-97-8178,04/18/1931,79300
Armani,Jeremy,Howell,M,900-70-1992,08/04/1978,128500
Crystal,Jocelyn,Houston,F,000-39-2433,06/03/1976,117100
Bradley,Robert,Douglas,M,900-20-4262,01/14/1949,54400
Ralph,William,Ryder,M,000-01-5029,11/04/1941,57100
Melanie,Patricia,Ammons,F,000-36-4914,06/09/1949,149600
Faith,Savannah,Adhami,F,800-92-9420,05/05/1961,132700
Joseph,Henry,Hayashi,M,000-78-2022,07/25/1962,87800
Amanda,Kathleen,Nelson,F,000-37-4619,11/01/1961,75000
Jessie,Melina,Fuleki,F,000-24-3348,07/11/1975,61200
Carson,Abram,Hubbard,M,000-56-6270,12/30/1982,139500
Daniel,Khalil,Hosley,M,000-58-3700,08/15/1933,117100
Zoe,Donna,Downey,F,800-71-1730,02/03/1980,91800
James,Elijah,Burchett,M,800-53-0724,03/21/1953,74800
Thomas,Frederick,Malone,M,000-29-3657,07/18/1942,95900
Samuel,Richard,Nash,M,900-54-9932,04/13/1931,112400
Robert,Clarence,Delgadillo,M,800-15-9170,11/27/1962,65300
Angel,Richard,Foertsch,M,900-56-2252,10/15/1965,138700
Cason,Cristofer,Rogers,M,800-28-4087,07/06/1938,58100
Michelle,Laura,Lewis,F,800-42-9832,09/30/1986,127300
Rita,Helen,Moore,F,000-16-4284,11/11/1955,150000
Skyler,Eric,McCaughan,M,000-17-8464,07/13/1969,77600
Keyon,Neil,Stroman,M,900-96-8707,05/21/1965,118800
Joanna,Rita,McCoy,F,900-55-7326,12/09/1945,65300
Eric,Jacob,Shertzer,M,000-28-1071,04/15/1966,132600
Katherine,Hailee,Campbell,F,000-45-9371,09/01/1956,81000
Stephen,Frank,Sherman,M,900-84-9750,03/16/1940,67000
Donald,Zander,Howard,M,800-03-8136,04/01/1966,138500
Rhonda,Brittany,Thompson,F,800-60-7947,07/08/1984,84000
Cynthia,Mariela,Ornelas,F,000-77-9242,11/04/1981,49200
Brendan,Gerry,Harjo,M,900-15-8601,06/26/1930,65600
Robbie,Demarion,Durham,M,800-03-7376,04/04/1988,131400
Robert,Gregory,Welch,M,800-11-1128,11/02/1955,147000
Maci,Olivia,Koenig,F,000-11-2026,08/29/1939,49200
Ayden,Jacob,Rogers,M,800-31-9483,01/04/1973,130800
Joseph,David,Schab,M,900-63-7769,12/05/1966,145800
Sherry,Sharon,Kirk,F,800-70-3615,12/13/1967,133200
Karen,Julia,Lockhart,F,900-59-7373,04/23/1930,57400
Sydnee,Terri,Corder,F,000-26-8783,04/26/1978,145100
Samantha,Jill,Ingram,F,800-85-8502,01/30/1977,113500
Steven,Randell,Coluccio,M,900-34-9845,08/22/1956,73500
Patricia,Taylor,Curley,F,900-64-7309,12/04/1956,80000
Richard,Jayden,Portillo,M,800-51-9984,08/23/1949,106700
James,Lesley,Vargas,M,000-95-4694,06/16/1955,142700
Deborah,Kim,Belton,F,800-55-5936,09/26/1988,55500
Alyssa,Maranda,King,F,900-06-3510,01/29/1960,134600
Dustin,David,Calvert,M,800-08-4241,01/02/1980,95400
Carlos,Kenneth,Garton,M,000-21-7494,07/03/1952,62000
Jenna,Brenda,Pano,F,000-20-5557,12/13/1950,66500
Kyle,Matthew,Aguero,M,800-70-5216,08/06/1983,54000
Cody,Robert,Apodaca,M,000-16-6559,12/19/1977,45000
Gladys,Kelsie,Higbee,F,900-74-4807,09/23/1968,128900
Von,William,Harris,M,800-72-1449,08/01/1984,120900
Chelsea,Jewel,Bothwell,F,000-39-7768,10/24/1940,49200
Dominic,Isaac,Williams,M,900-74-7624,08/14/1931,55900
Thomas,Robert,Vargas,M,000-03-2636,09/09/1955,67400
James,Raymond,Haslam,M,000-42-2536,01/05/1975,132700
Kristin,Vanessa,Pack,F,900-03-1768,07/26/1934,54800
Briana,Kathleen,Goodale,F,900-89-1238,03/20/1978,137800
Donna,Meghan,Harvey,F,000-31-7059,07/09/1982,80600
Guadalupe,Tara,Jaskot,F,900-39-6696,10/27/1930,75600
Robert,Hayden,Brooks,M,000-05-2265,06/17/1937,111100
Rita,Lizeth,Furry,F,900-12-5836,05/29/1976,65400
Judy,Adeline,Frawley,F,900-65-6012,06/16/1956,90500
Ricky,Jessie,Isais,M,800-10-9678,05/02/1946,126600
Katherine,Imani,Harper,F,800-54-4733,06/25/1970,81300
Reuben,Kenneth,Jackson,M,800-57-4038,04/06/1955,100100
Jessica,Opal,Petersen,F,900-32-1313,06/15/1975,120700
Danielle,Caitlyn,Anthony,F,900-37-2867,07/26/1962,51400
Steven,Jonathan,Fitz,M,900-08-8311,04/19/1932,60400
Aubrey,Brenda,Cates,F,800-90-8542,12/19/1932,103900
Daniel,Jonathan,Mitchell,M,800-70-8664,01/02/1953,95100
James,Edward,Elkins,M,000-78-0147,04/02/1945,119200
Danielle,Jean,Schaber,F,900-08-2166,04/28/1984,62900
Carissa,Cori,Romero,F,000-15-6890,11/15/1988,146800
Andrea,Natalie,Brooks,F,000-31-6906,06/26/1952,141200
Leo,Dwight,Snyder,M,000-03-2439,11/11/1965,144600
Johnny,James,Murphy,M,000-14-6920,10/04/1980,46200
Maryann,Brittany,McLean,F,900-12-2487,04/30/1976,80600
Laura,Holli,Jacobs,F,900-69-1986,03/28/1971,140100
Dustin,Landon,McNamara,M,900-80-1391,05/03/1955,58900
Scottie,Jarred,Bryan,M,800-11-1676,10/29/1981,146900
Kristi,Rachel,Barber,F,000-73-8193,03/10/1941,113900
Daniel,Farrell,Wilkins,M,000-38-9054,12/04/1930,75700
Patti,Sarah,Motley,F,800-33-7534,12/31/1981,57900
James,Joseph,Gardner,M,800-21-7740,11/08/1955,90000
Jennifer,Diana,King,F,800-17-3373,05/07/1973,109200
Mark,Michael,McAlister,M,000-59-6864,04/29/1938,121400
Helen,Brittany,Rhodes,F,000-84-6325,10/03/1964,62300
Sandra,Darleen,Gibson,F,000-19-0975,07/16/1967,95900
Daniel,Caleb,Swinea,M,000-79-7879,10/21/1981,103800
Matthew,Terry,Bartlett,M,000-72-4387,12/19/1959,93400
